Transaction-date|Name|Credit-Card|Amount
2020-09-25 23:36:54|Noah C. Downs|5217641355734087|$85.72
2020-07-15 23:20:43|Griffith V. Castillo|524586 429996 8332|$88.56
2021-05-08 20:48:18|Larissa J. Burris|512497 9163625341|$72.38
2019-12-15 17:13:02|Caryn Frank|5181 1645 9787 1080|$92.96
2020-10-18 19:06:59|Marsden Y. Ballard|538294 5830210707|$94.32
2021-03-04 05:50:15|Russell M. Kemp|539173 0092603990|$0.63
2020-08-07 18:02:29|Kelly Faulkner|520 38388 82512 160|$88.60
2019-11-25 19:49:02|Keaton Simon|550 95683 60160 353|$84.87
2020-03-01 19:35:54|Roary Collins|517001 8736664116|$85.61
2019-12-07 02:47:21|Tallulah L. Davidson|5400781241540616|$81.80
2019-09-25 13:50:14|Honorato Joyner|5527451673695076|$84.66
2020-02-11 22:29:18|Curran Z. Ray|556313 928794 2910|$88.58
2021-07-20 05:17:13|Zahir W. Morris|5198 3765 3186 1537|$12.72
2020-06-23 18:41:28|Addison W. Trevino|5365151919971704|$46.59
2019-11-22 21:23:06|Kibo Y. Harrell|5164 7564 8609 7353|$98.69
2021-08-04 16:00:27|Ignatius Erickson|535313 5829338470|$43.49
2019-10-12 14:12:31|Jonah J. Rice|510 30226 13061 810|$84.04
2021-04-18 03:41:57|Zahir Barry|517 51060 33848 162|$34.08
2020-02-02 02:42:38|Devin Tillman|541263 671603 9872|$89.32
2021-06-01 07:09:59|Meredith Grimes|515859 426913 0697|$30.54
2020-11-10 00:07:11|Lev L. Peters|542 09224 23063 409|$41.87
2020-06-08 07:41:43|Giselle U. Padilla|524630 441548 9235|$15.80
2021-08-17 02:28:55|Howard Z. Yang|550 14597 45904 038|$53.81
2019-09-26 14:43:46|Raphael Gordon|554 21424 24154 148|$75.42
2020-12-04 17:54:43|Christine Lambert|5539894410515147|$10.05
2019-11-04 21:14:05|Tatum R. Payne|546 59714 44491 079|$21.44
2021-04-12 01:52:13|Dakota Ewing|5545 1213 5514 5033|$40.40
2020-08-08 07:06:38|Otto K. Rowe|5543477326910596|$6.41
2020-09-29 09:56:10|Steven Cain|552 01319 19297 096|$60.21
2021-07-14 02:35:48|Gillian Bradford|5154 0030 3749 7150|$11.57
2019-09-03 05:47:30|Helen Patton|5524546810827608|$99.43
2020-04-24 00:29:47|Seth Bruce|5419013559163743|$23.95
2020-04-11 04:03:39|Erica Fisher|5222416839071106|$95.46
2021-05-02 03:37:57|Jolene Dillon|533215 4335594787|$62.49
2019-11-26 09:05:51|Keelie Giles|514 85143 12301 858|$42.14
2019-12-17 00:56:02|Xandra Parrish|5264926284645526|$43.58
2020-04-21 17:40:47|Leandra P. Glover|5366 1490 8358 2546|$91.15
2020-11-13 10:01:27|Harper Thornton|5103 1653 5900 2637|$2.63
2020-11-28 12:16:09|Inez English|556 57014 45244 972|$67.48
2021-06-04 07:18:42|Cecilia B. Rocha|536 88874 48695 416|$92.76
2021-05-31 09:57:45|Bo Bonner|5558368098748367|$0.77
2020-01-06 03:46:46|Quentin Bray|5520 0996 2325 4838|$89.02
2020-04-21 08:48:15|Caesar I. Hudson|5400594904332589|$69.85
2019-11-14 22:13:41|Duncan Soto|540 03949 64374 237|$70.97
2020-11-10 20:49:12|Omar F. Wilcox|5314233694710739|$19.73
2019-12-08 00:38:51|Blossom J. Jenkins|550017 1565720672|$85.43
2019-09-25 01:41:49|Andrew Dale|5101 8949 8939 5622|$29.26
2020-12-15 06:27:24|Patience F. Massey|541 70750 61746 531|$35.41
2021-03-07 11:08:14|Natalie Fletcher|530599 1732079117|$12.54
