Transaction-date|Name|Credit-Card|Amount
2019-12-31 01:04:09|Cherokee A. Nichols|5230 7401 5071 6506|$36.00
2021-05-23 16:24:44|Jackson F. Sandoval|548320 5253548366|$83.78
2021-06-28 10:20:43|Carson Hodge|5522352692047544|$62.59
2021-01-14 09:38:37|Kelly F. Guthrie|544697 007979 3969|$72.37
2020-02-26 08:43:30|Conan Yates|544853 8434407696|$74.54
2020-01-20 04:39:22|Cameron L. Ball|5590 2413 2616 9195|$30.08
2021-02-27 21:11:43|Melissa A. Francis|534625 030000 2428|$29.25
2020-10-13 08:04:13|Avram C. Blevins|522 90047 44032 752|$51.20
2019-11-29 04:37:30|Connor B. Buckley|542201 279372 4067|$3.45
2021-02-04 03:33:46|Daryl H. Robertson|5147222158831662|$85.16
2019-11-13 02:03:52|Garrett Q. Walker|5388926453501311|$81.75
2020-11-20 10:24:23|Isadora Z. Berger|5420 9237 2966 7224|$7.82
2020-09-09 18:40:20|Travis H. Schneider|513 15946 27980 363|$18.46
2020-12-02 18:40:17|Anne N. Baker|5459006831287992|$31.03
2020-10-16 07:15:49|Geoffrey M. Valentine|5170 0769 0746 3270|$89.28
2021-05-31 03:52:18|Jesse Chan|5330566586881369|$97.79
2020-12-13 06:39:19|Ignatius S. Curry|524 62173 21238 548|$85.97
2021-02-16 15:48:28|Luke Rios|540770 134253 3719|$82.36
2020-09-23 01:18:50|Leo Cline|555194 129972 1859|$55.99
2020-10-17 04:52:02|Chastity E. Chapman|545 70121 02378 223|$31.00
2020-08-01 08:23:42|Hayfa Joyner|513660 6756947917|$12.24
2020-09-17 23:16:51|Daniel Johnson|512536 5706650609|$58.94
2020-03-11 05:07:32|Lawrence Knox|526005 1825196105|$91.76
2020-02-11 04:06:31|Brynn X. Solomon|514 48942 02796 175|$22.02
2020-05-31 01:56:47|Boris A. Glover|545456 8725518027|$96.20
2021-02-18 13:30:13|Kirk X. Mckenzie|554504 394318 1397|$26.16
2021-08-01 04:58:47|Jin B. Cantrell|5280 2463 6072 9981|$60.23
2019-08-29 19:19:32|Robin Rich|5410 6934 1590 6754|$31.15
2020-05-22 19:31:46|Sybill Gregory|5363 8066 6113 8586|$56.10
2020-08-31 00:56:10|Sierra Mcdonald|532 66165 77103 285|$9.07
2021-04-04 09:30:13|Wang Compton|5243281323992422|$72.76
2020-11-21 03:23:25|Venus Gallagher|516 00772 03206 662|$96.54
2020-08-08 23:49:01|Kitra H. Ellis|517 59970 09912 598|$77.94
2021-02-16 07:46:50|Ivan G. Merrill|5596802057477810|$53.11
2019-10-23 15:15:05|Aimee B. Russo|5119169166833343|$10.43
2021-06-19 04:22:36|Hayley W. Green|518 71680 23649 485|$21.30
2020-08-09 12:42:40|Merritt F. Herrera|543 21486 86870 605|$10.39
2020-11-07 06:42:21|Madeson Z. Lowery|521519 399223 6623|$58.34
2020-02-13 10:20:38|Tanek Garza|5219502425557254|$80.88
2019-10-22 17:10:11|Nora Avila|518484 6470442933|$42.72
2020-06-20 07:35:36|Evan Bradford|547780 434949 7436|$43.91
2021-04-19 13:30:11|Hiram C. Barr|5490745203131483|$21.84
2021-05-29 01:06:24|Lars Delaney|545396 4080562885|$27.98
2021-03-02 11:01:03|Holly M. Coffey|517 09365 50991 457|$60.98
2021-05-25 23:04:01|Lev Hart|543 51705 18071 589|$10.08
2020-04-15 02:30:52|Alexa X. Mckenzie|522174 2208781657|$7.36
2021-04-07 03:43:57|Stacey B. Beck|514760 841989 8112|$85.63
2020-03-10 05:09:19|Abra Glover|545392 3621013303|$90.15
2020-02-11 15:06:12|Merritt Clay|5341 1706 6756 2571|$99.01
2019-09-04 01:09:36|Clayton S. Patterson|546000 0307572802|$79.86
2019-09-04 08:19:16|Jolene Burns|521 27869 22171 860|$2.38
2021-03-22 05:01:36|Amy M. Madden|539107 7025765821|$85.62
2020-12-08 20:44:49|Hillary Camacho|5338709883767566|$39.92
2021-01-18 22:28:22|Justina Durham|525889 6954200191|$60.95
2019-12-25 06:55:11|Emery Cash|522189 498862 7889|$24.05
2020-02-12 01:19:41|Cara Christian|5377 8633 9364 3643|$30.42
2021-07-27 14:36:15|Karen Snyder|559167 188745 2482|$96.70
2020-03-01 16:15:27|Alisa W. Cunningham|5155 2168 3988 1004|$49.52
2020-12-13 15:16:41|Maia Wooten|5339914433918086|$22.67
2020-06-10 20:34:57|McKenzie Schultz|5562 4237 5347 1757|$69.49
2020-03-12 23:26:44|Caleb Mclean|5222 4829 9725 3514|$70.20
2019-09-23 04:44:55|Lucian Ballard|510 88890 65616 670|$73.13
2020-01-02 23:12:21|Beau Francis|529 32276 71047 839|$1.04
2021-08-01 13:29:10|Kadeem Hall|534055 9761075053|$54.74
2021-02-22 03:07:51|May Baxter|535276 2391415427|$45.84
2020-06-30 17:35:28|Bo Frost|5181 3363 5294 1601|$41.29
2020-07-02 05:32:05|Ulla Vaughan|5220 5498 4363 9146|$67.49
